DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,42,0.0,1.0,-2.95006,-48.59907,27.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,44,0.0,1.0,-2.94951,-48.60434,39.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,3,0.0,1.0,-2.72932,-48.70553,25.5
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,18,0.0,1.0,-2.64401,-48.02549,49.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,3,0.0,0.92,-2.61574,-48.55648,124.2
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,3,0.0,0.92,-2.61309,-48.53805,44.0
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,BOM JESUS DO TOCANTINS,Amazônia,19,0.0,1.0,-4.79808,-48.70726,36.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,BOM JESUS DO TOCANTINS,Amazônia,19,0.0,1.0,-4.79514,-48.68673,22.2
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,BOM JESUS DO TOCANTINS,Amazônia,19,0.0,1.0,-4.79494,-48.70267,55.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,19,0.0,1.0,-4.61521,-48.533,53.5
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,JACUNDÁ,Amazônia,19,0.0,1.0,-4.37016,-49.14003,113.0
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,JACUNDÁ,Amazônia,19,0.0,1.0,-4.36721,-49.11794,50.5
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,JACUNDÁ,Amazônia,19,0.0,1.0,-4.3586,-49.1259,89.2
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,19,0.0,1.0,-4.27944,-48.56407,66.9
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,19,0.0,1.0,-4.26935,-48.58546,30.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,CURIONÓPOLIS,Amazônia,32,0.0,1.0,-5.91791,-49.4772,93.2
2024/09/15 17:09:00,AQUA_M-T,Brasil,TOCANTINS,SÃO SEBASTIÃO DO TOCANTINS,Amazônia,19,0.0,1.0,-5.21962,-48.45575,46.9
2024/09/15 17:09:00,AQUA_M-T,Brasil,TOCANTINS,SÃO SEBASTIÃO DO TOCANTINS,Amazônia,19,0.0,1.0,-5.2185,-48.44897,89.5
2024/09/15 17:09:00,AQUA_M-T,Brasil,TOCANTINS,SÃO SEBASTIÃO DO TOCANTINS,Amazônia,19,0.0,1.0,-5.21676,-48.43574,45.3
2024/09/15 17:09:00,AQUA_M-T,Brasil,TOCANTINS,SÃO SEBASTIÃO DO TOCANTINS,Amazônia,19,0.0,1.0,-5.20669,-48.45752,61.0
2024/09/15 17:07:00,AQUA_M-T,Brasil,PARÁ,CURIONÓPOLIS,Amazônia,32,0.0,1.0,-6.60891,-49.65734,98.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PARÁ,CURIONÓPOLIS,Amazônia,32,0.0,1.0,-6.60539,-49.6309,36.4
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,CURIONÓPOLIS,Amazônia,32,0.0,1.0,-6.47122,-49.65864,41.8
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,ARAGUAÍNA,Cerrado,32,0.0,1.0,-7.342,-48.51542,17.8
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,ARAGUAÍNA,Cerrado,32,0.0,1.0,-7.33914,-48.49351,88.3
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,ARAGOMINAS,Cerrado,32,0.0,1.0,-7.0434,-48.60408,21.6
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,ARAGUANÃ,Cerrado,32,0.0,1.0,-6.89016,-48.34348,58.3
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,PIRAQUÊ,Cerrado,32,0.0,1.0,-6.88734,-48.32252,26.0
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,DOIS IRMÃOS DO TOCANTINS,Cerrado,52,0.0,1.0,-9.47327,-49.04138,35.7
